collision_group,source_path,canonical_target,relative_path,sha256,size_bytes,classification,action,reason
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/HTMLForm/css/README.md,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/HTMLForm/css/README.md,DailyChallenge/HTMLForm/css/README.md,e597a6c75b782416187c93aa46da9d06a9117970f57c8ecc0a2ce05e03a2c3ce,1635,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/HTMLForm/css/styles.css,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/HTMLForm/css/styles.css,DailyChallenge/HTMLForm/css/styles.css,ff9bef5cd22bfc125bb5518cd754ffb40666ea8668cd9451ec0f21001226eda0,1236,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/HTMLForm/index.html,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/HTMLForm/index.html,DailyChallenge/HTMLForm/index.html,98f609554dfd3249e9e4a070803ab3934a0f987f3f32df5d1885753919d16167,1334,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/HTMLForm/js/app.js,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/HTMLForm/js/app.js,DailyChallenge/HTMLForm/js/app.js,c146bee517c9e8de2332c732e97ca8bedcc9800fbfb7d56eeba9bcf81bfc5a2b,1603,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/HTMLForm/js/README.md,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/HTMLForm/js/README.md,DailyChallenge/HTMLForm/js/README.md,ab7a147db7d00d739aaebe432091be8fabc7f08aef7b07cb03bdc40a3bb28023,1663,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/HTMLForm/README.md,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/HTMLForm/README.md,DailyChallenge/HTMLForm/README.md,8f501a315f9ace18dfb9bd34c4c4bc580177d88b69d3e623eb4c5ae84a407fb3,2567,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/README.md,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/README.md,DailyChallenge/README.md,95ce0b6b52f20f208a10aa6f5c726ca8d0ff1787fda778ffec19509c30f27fd6,2037,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPandFormmethodGETandPOST/DailyChallenge/TrueOrFalse/app.js,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/TrueOrFalse/app.js,DailyChallenge/TrueOrFalse/app.js,0f24e58ff635e156f36c05a440ca35d243fbbad9a45793ee8a6477e27e815bdc,2225,unique,move,unique tracked blob in case-conflicting legacy tree; move without overwrite
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/TrueOrFalse/index1.html,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/TrueOrFalse/index.html,DailyChallenge/TrueOrFalse/index1.html,f266ad1ad4dd01d4bd8047dd465fe7dc7c3fe291bbf686d555c2a1d73320b5a4,1656,unique,keep,baseline canonical blob; subsequently renamed R100 to index.html for navigation
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPandFormmethodGETandPOST/DailyChallenge/TrueOrFalse/README.md,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/TrueOrFalse/README.md,DailyChallenge/TrueOrFalse/README.md,ea31291bec3983622e264e9154106410fb8acdaf24a546526d2a020e04f6337d,2395,unique,move,unique tracked blob in case-conflicting legacy tree; move without overwrite
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPandFormmethodGETandPOST/DailyChallenge/TrueOrFalse/style.css,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/TrueOrFalse/style.css,DailyChallenge/TrueOrFalse/style.css,2e5acc095fe9144dd6f3e1fe664e54db22e2b5fae057f76ae01c75e0287e471e,1396,unique,move,unique tracked blob in case-conflicting legacy tree; move without overwrite
