approved,action,old_path,new_path,risk,reason,destination_exists,notes
no,manual_merge,Week4AdvAsynchronousJavaScript/Day3HTTPandFormmethodGETandPOST,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST,high,Two Day3 HTTP/Form directories use inconsistent capitalization.,True,Compare files and merge before removing the old path.
no,manual_merge,Week5MiniprojectAndTypeScript,Week5MiniProjectAndTypeScript,high,Two top-level Week5 directories differ only by capitalization and content placement.,True,Merge child-by-child on a dedicated branch; do not overwrite the existing destination.
no,manual_merge,Week5MiniProjectAndTypeScript/Day1Miniproject,Week5MiniProjectAndTypeScript/Day1MiniProject,high,"Normalize a misspelling, space, or shell-sensitive character.",True,Review assignment links and README references before approval.
no,manual_merge,Week6DatabasesAndNodejs,Week6DatabasesAndNodeJS,high,"Normalize a misspelling, space, or shell-sensitive character.",True,Review assignment links and README references before approval.
no,manual_merge,Week6DatabasesAndNodejs/Day4NodejsIntroduction,Week6DatabasesAndNodejs/Day4NodeJSIntroduction,high,"Normalize a misspelling, space, or shell-sensitive character.",True,Review assignment links and README references before approval.
no,manual_merge,Week6DatabasesAndNodejs/Day4NodejsIntroduction/DailyChallenge/NodejsAppAndNPM,Week6DatabasesAndNodejs/Day4NodejsIntroduction/DailyChallenge/NodeJSAppAndNPM,high,"Normalize a misspelling, space, or shell-sensitive character.",True,Review assignment links and README references before approval.
no,move,Week2OOP/Day5MiniProject/DailyChallenge/OOPQuizz,Week2OOP/Day5MiniProject/DailyChallenge/OOPQuiz,medium,"Normalize a misspelling, space, or shell-sensitive character.",False,Review assignment links and README references before approval.
no,move,Week3JavaScriptandDOM/Remote LearningJSAndDOM,Week3JavaScriptandDOM/RemoteLearningJSAndDOM,medium,Spaces make shell commands and links less predictable.,False,Update Markdown and HTML links after moving.
no,move,Week4AdvAsynchronousJavaScript/Day5Fetch&AsyncAwait,Week4AdvAsynchronousJavaScript/Day5FetchAndAsyncAwait,medium,Ampersands require escaping in several shells.,False,Use git mv and update references.
no,move,Week5MiniProjectAndTypeScript/Day1Miniproject/DailyChallange,Week5MiniProjectAndTypeScript/Day1Miniproject/DailyChallenge,medium,"Normalize a misspelling, space, or shell-sensitive character.",False,Review assignment links and README references before approval.
no,archive,Week1Python (2).zip,archive/source-zips/Week1Python-legacy-2.zip,low,Duplicate-looking source archive at repository root.,False,Compare archive contents before deletion; archive locally first.
no,archive,Week1Python.zip,archive/source-zips/Week1Python.zip,low,Root source archives duplicate material already tracked as files.,False,Prefer keeping the ZIP outside Git history after confirming it is unnecessary.
no,move,Week6DatabasesAndNodejs/Day3DatabaseConcepts2/Exercises/ExercicesXPGold,Week6DatabasesAndNodejs/Day3DatabaseConcepts2/Exercises/ExercisesXPGold,low,Correct the misspelling 'Exercices'.,False,Safe after checking README links.
