path,title,suggested_slug,goal,week,day,kind,tier,technologies,file_count,size_bytes,lines,source_files,entry_points,has_readme,readme_path,test_files,syntax_errors,completion_score,quality_score
Week1Python/Day1StartingwithPython/DailyChallenge/BuildUpAString,BuildUpAString,week1python-day1startingwithpython-dailychallenge-buildupastring,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day1StartingwithPython,Daily Challenge,,Python,2,12222,449,Week1Python/Day1StartingwithPython/DailyChallenge/BuildUpAString/buildupastring.py,Week1Python/Day1StartingwithPython/DailyChallenge/BuildUpAString/buildupastring.py,True,Week1Python/Day1StartingwithPython/DailyChallenge/BuildUpAString/README.md,,,unverified,unverified
Week1Python/Day1StartingwithPython/Exercises/ExercisesXP,ExercisesXP,week1python-day1startingwithpython-exercises-exercisesxp,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day1StartingwithPython,Exercise,XP,Python,2,17277,605,Week1Python/Day1StartingwithPython/Exercises/ExercisesXP/exercisesxp.py,Week1Python/Day1StartingwithPython/Exercises/ExercisesXP/exercisesxp.py,True,Week1Python/Day1StartingwithPython/Exercises/ExercisesXP/README.md,,,unverified,unverified
Week1Python/Day1StartingwithPython/Exercises/ExercisesXPGold,ExercisesXPGold,week1python-day1startingwithpython-exercises-exercisesxpgold,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day1StartingwithPython,Exercise,XP Gold,Python,2,11317,359,Week1Python/Day1StartingwithPython/Exercises/ExercisesXPGold/exercisesxpgold.py,Week1Python/Day1StartingwithPython/Exercises/ExercisesXPGold/exercisesxpgold.py,True,Week1Python/Day1StartingwithPython/Exercises/ExercisesXPGold/README.md,,,unverified,unverified
Week1Python/Day1StartingwithPython/Exercises/ExercisesXPNinja,ExercisesXPNinja,week1python-day1startingwithpython-exercises-exercisesxpninja,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day1StartingwithPython,Exercise,XP Ninja,Python,2,14540,402,Week1Python/Day1StartingwithPython/Exercises/ExercisesXPNinja/exercisesxpninja.py,Week1Python/Day1StartingwithPython/Exercises/ExercisesXPNinja/exercisesxpninja.py,True,Week1Python/Day1StartingwithPython/Exercises/ExercisesXPNinja/README.md,,,unverified,unverified
Week1Python/Day2ListsIteratingAndFormattingData/DailyChallenge/GoldHappyBirthday,GoldHappyBirthday,week1python-day2listsiteratingandformattingdata-dailychallenge-goldhappybirthday,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day2ListsIteratingAndFormattingData,Daily Challenge,,Python,2,8459,278,Week1Python/Day2ListsIteratingAndFormattingData/DailyChallenge/GoldHappyBirthday/happybirthday.py,Week1Python/Day2ListsIteratingAndFormattingData/DailyChallenge/GoldHappyBirthday/happybirthday.py,True,Week1Python/Day2ListsIteratingAndFormattingData/DailyChallenge/GoldHappyBirthday/README.md,,,unverified,unverified
Week1Python/Day2ListsIteratingAndFormattingData/DailyChallenge/ListAndStrings,ListAndStrings,week1python-day2listsiteratingandformattingdata-dailychallenge-listandstrings,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day2ListsIteratingAndFormattingData,Daily Challenge,,Python,2,9125,336,Week1Python/Day2ListsIteratingAndFormattingData/DailyChallenge/ListAndStrings/dailychallengelistandstrings.py,Week1Python/Day2ListsIteratingAndFormattingData/DailyChallenge/ListAndStrings/dailychallengelistandstrings.py,True,Week1Python/Day2ListsIteratingAndFormattingData/DailyChallenge/ListAndStrings/README.md,,,unverified,unverified
Week1Python/Day2ListsIteratingAndFormattingData/Exercises/ExercisesXP,ExercisesXP,week1python-day2listsiteratingandformattingdata-exercises-exercisesxp,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day2ListsIteratingAndFormattingData,Exercise,XP,Python,2,15254,503,Week1Python/Day2ListsIteratingAndFormattingData/Exercises/ExercisesXP/exercisesxp.py,Week1Python/Day2ListsIteratingAndFormattingData/Exercises/ExercisesXP/exercisesxp.py,True,Week1Python/Day2ListsIteratingAndFormattingData/Exercises/ExercisesXP/README.md,,,unverified,unverified
Week1Python/Day2ListsIteratingAndFormattingData/Exercises/ExercisesXPGold,ExercisesXPGold,week1python-day2listsiteratingandformattingdata-exercises-exercisesxpgold,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day2ListsIteratingAndFormattingData,Exercise,XP Gold,Python,2,11900,397,Week1Python/Day2ListsIteratingAndFormattingData/Exercises/ExercisesXPGold/exercisesxpgold.py,Week1Python/Day2ListsIteratingAndFormattingData/Exercises/ExercisesXPGold/exercisesxpgold.py,True,Week1Python/Day2ListsIteratingAndFormattingData/Exercises/ExercisesXPGold/README.md,,,unverified,unverified
Week1Python/Day2ListsIteratingAndFormattingData/Exercises/ExercisesXPNinja,ExercisesXPNinja,week1python-day2listsiteratingandformattingdata-exercises-exercisesxpninja,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day2ListsIteratingAndFormattingData,Exercise,XP Ninja,Python,2,15113,532,Week1Python/Day2ListsIteratingAndFormattingData/Exercises/ExercisesXPNinja/exercisesxpninja.py,Week1Python/Day2ListsIteratingAndFormattingData/Exercises/ExercisesXPNinja/exercisesxpninja.py,True,Week1Python/Day2ListsIteratingAndFormattingData/Exercises/ExercisesXPNinja/README.md,,,unverified,unverified
Week1Python/Day3Dictionaries/DailyChallenge/CaesarCypher,CaesarCypher,week1python-day3dictionaries-dailychallenge-caesarcypher,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day3Dictionaries,Daily Challenge,,Python,2,8119,263,Week1Python/Day3Dictionaries/DailyChallenge/CaesarCypher/caesarcipher.py,Week1Python/Day3Dictionaries/DailyChallenge/CaesarCypher/caesarcipher.py,True,Week1Python/Day3Dictionaries/DailyChallenge/CaesarCypher/README.md,,,unverified,unverified
Week1Python/Day3Dictionaries/DailyChallenge/Dictionaries,Dictionaries,week1python-day3dictionaries-dailychallenge-dictionaries,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day3Dictionaries,Daily Challenge,,Python,2,16740,684,Week1Python/Day3Dictionaries/DailyChallenge/Dictionaries/dictionaries.py,Week1Python/Day3Dictionaries/DailyChallenge/Dictionaries/dictionaries.py,True,Week1Python/Day3Dictionaries/DailyChallenge/Dictionaries/README.md,,,unverified,unverified
Week1Python/Day3Dictionaries/Exercises/ExercisesXP,ExercisesXP,week1python-day3dictionaries-exercises-exercisesxp,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day3Dictionaries,Exercise,XP,Python,2,23114,842,Week1Python/Day3Dictionaries/Exercises/ExercisesXP/exercisesxp.py,Week1Python/Day3Dictionaries/Exercises/ExercisesXP/exercisesxp.py,True,Week1Python/Day3Dictionaries/Exercises/ExercisesXP/README.md,,,unverified,unverified
Week1Python/Day3Dictionaries/Exercises/ExercisesXPGold,ExercisesXPGold,week1python-day3dictionaries-exercises-exercisesxpgold,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day3Dictionaries,Exercise,XP Gold,Python,2,7353,247,Week1Python/Day3Dictionaries/Exercises/ExercisesXPGold/exercisesxpgold.py,Week1Python/Day3Dictionaries/Exercises/ExercisesXPGold/exercisesxpgold.py,True,Week1Python/Day3Dictionaries/Exercises/ExercisesXPGold/README.md,,,unverified,unverified
Week1Python/Day3Dictionaries/Exercises/ExercisesXPNinja,ExercisesXPNinja,week1python-day3dictionaries-exercises-exercisesxpninja,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day3Dictionaries,Exercise,XP Ninja,Python,2,6495,209,Week1Python/Day3Dictionaries/Exercises/ExercisesXPNinja/xpninjacars.py,Week1Python/Day3Dictionaries/Exercises/ExercisesXPNinja/xpninjacars.py,True,Week1Python/Day3Dictionaries/Exercises/ExercisesXPNinja/readme.md,,,unverified,unverified
Week1Python/Day3Dictionaries/Exercises/ExercisesXPPlus,ExercisesXPPlus,week1python-day3dictionaries-exercises-exercisesxpplus,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day3Dictionaries,Exercise,XP Plus,Python,2,13590,430,Week1Python/Day3Dictionaries/Exercises/ExercisesXPPlus/exercisesxpplus.py,Week1Python/Day3Dictionaries/Exercises/ExercisesXPPlus/exercisesxpplus.py,True,Week1Python/Day3Dictionaries/Exercises/ExercisesXPPlus/README.md,,,unverified,unverified
Week1Python/Day3Dictionaries/Exercises/TimedChallenge1,TimedChallenge1,week1python-day3dictionaries-exercises-timedchallenge1,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day3Dictionaries,Timed Challenge,,Python,2,3205,120,Week1Python/Day3Dictionaries/Exercises/TimedChallenge1/timedsentence.py,Week1Python/Day3Dictionaries/Exercises/TimedChallenge1/timedsentence.py,True,Week1Python/Day3Dictionaries/Exercises/TimedChallenge1/readme.md,,,unverified,unverified
Week1Python/Day3Dictionaries/Exercises/TimedChallenge2,TimedChallenge2,week1python-day3dictionaries-exercises-timedchallenge2,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day3Dictionaries,Timed Challenge,,Python,2,3563,137,Week1Python/Day3Dictionaries/Exercises/TimedChallenge2/perfectnumber.py,Week1Python/Day3Dictionaries/Exercises/TimedChallenge2/perfectnumber.py,True,Week1Python/Day3Dictionaries/Exercises/TimedChallenge2/readme.md,,,unverified,unverified
Week1Python/Day4Functions/DailyChallenge/SolveTheMatrix,SolveTheMatrix,week1python-day4functions-dailychallenge-solvethematrix,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day4Functions,Daily Challenge,,Python,2,8108,329,Week1Python/Day4Functions/DailyChallenge/SolveTheMatrix/solvethematrix.py,Week1Python/Day4Functions/DailyChallenge/SolveTheMatrix/solvethematrix.py,True,Week1Python/Day4Functions/DailyChallenge/SolveTheMatrix/README.md,,,unverified,unverified
Week1Python/Day4Functions/Exercises/ExercisesXP,ExercisesXP,week1python-day4functions-exercises-exercisesxp,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day4Functions,Exercise,XP,Python,2,18608,657,Week1Python/Day4Functions/Exercises/ExercisesXP/exercisesxp.py,Week1Python/Day4Functions/Exercises/ExercisesXP/exercisesxp.py,True,Week1Python/Day4Functions/Exercises/ExercisesXP/README.md,,,unverified,unverified
Week1Python/Day4Functions/Exercises/ExercisesXPGold,ExercisesXPGold,week1python-day4functions-exercises-exercisesxpgold,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day4Functions,Exercise,XP Gold,Python,2,20644,825,Week1Python/Day4Functions/Exercises/ExercisesXPGold/xpgoldfunctions.py,Week1Python/Day4Functions/Exercises/ExercisesXPGold/xpgoldfunctions.py,True,Week1Python/Day4Functions/Exercises/ExercisesXPGold/README.md,,,unverified,unverified
Week1Python/Day4Functions/Exercises/ExercisesXPNinja,ExercisesXPNinja,week1python-day4functions-exercises-exercisesxpninja,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day4Functions,Exercise,XP Ninja,Python,2,14930,473,Week1Python/Day4Functions/Exercises/ExercisesXPNinja/xpninjafunctionssingle.py,Week1Python/Day4Functions/Exercises/ExercisesXPNinja/xpninjafunctionssingle.py,True,Week1Python/Day4Functions/Exercises/ExercisesXPNinja/README.md,,,unverified,unverified
Week1Python/Day4Functions/Exercises/TimedChallenge1,TimedChallenge1,week1python-day4functions-exercises-timedchallenge1,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day4Functions,Timed Challenge,,Python,2,5253,229,Week1Python/Day4Functions/Exercises/TimedChallenge1/countoccurence.py,Week1Python/Day4Functions/Exercises/TimedChallenge1/countoccurence.py,True,Week1Python/Day4Functions/Exercises/TimedChallenge1/readme.md,,,unverified,unverified
Week1Python/Day5MiniProject/DailyChallenge/AdvancedAlgorithm,AdvancedAlgorithm,week1python-day5miniproject-dailychallenge-advancedalgorithm,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day5MiniProject,Daily Challenge,,Python,5,15401,488,Week1Python/Day5MiniProject/DailyChallenge/AdvancedAlgorithm/main.py | Week1Python/Day5MiniProject/DailyChallenge/AdvancedAlgorithm/src/demodata.py | Week1Python/Day5MiniProject/DailyChallenge/AdvancedAlgorithm/src/pairs.py,Week1Python/Day5MiniProject/DailyChallenge/AdvancedAlgorithm/main.py,True,Week1Python/Day5MiniProject/DailyChallenge/AdvancedAlgorithm/README.md,,,unverified,unverified
Week1Python/Day5MiniProject/DailyChallenge/Challenges,Challenges,week1python-day5miniproject-dailychallenge-challenges,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day5MiniProject,Daily Challenge,,Python,2,9584,374,Week1Python/Day5MiniProject/DailyChallenge/Challenges/challenges.py,Week1Python/Day5MiniProject/DailyChallenge/Challenges/challenges.py,True,Week1Python/Day5MiniProject/DailyChallenge/Challenges/README.md,,,unverified,unverified
Week1Python/Day5MiniProject/Exercises/Challenges1,Challenges1,week1python-day5miniproject-exercises-challenges1,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day5MiniProject,Exercise,,Python,2,17610,610,Week1Python/Day5MiniProject/Exercises/Challenges1/challengessolutions.py,Week1Python/Day5MiniProject/Exercises/Challenges1/challengessolutions.py,True,Week1Python/Day5MiniProject/Exercises/Challenges1/README.md,,,unverified,unverified
Week1Python/Day5MiniProject/Exercises/Challenges2,Challenges2,week1python-day5miniproject-exercises-challenges2,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day5MiniProject,Exercise,,Python,5,14229,515,Week1Python/Day5MiniProject/Exercises/Challenges2/main.py | Week1Python/Day5MiniProject/Exercises/Challenges2/src/ex2analysis.py | Week1Python/Day5MiniProject/Exercises/Challenges2/src/patterns.py,Week1Python/Day5MiniProject/Exercises/Challenges2/main.py,True,Week1Python/Day5MiniProject/Exercises/Challenges2/README.md,,,unverified,unverified
Week1Python/Day5MiniProject/Exercises/Hangman,Hangman,week1python-day5miniproject-exercises-hangman,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day5MiniProject,Mini Project,,Python,6,31012,1091,Week1Python/Day5MiniProject/Exercises/Hangman/main.py | Week1Python/Day5MiniProject/Exercises/Hangman/src/art.py | Week1Python/Day5MiniProject/Exercises/Hangman/src/game.py | Week1Python/Day5MiniProject/Exercises/Hangman/src/words.py,Week1Python/Day5MiniProject/Exercises/Hangman/main.py,True,Week1Python/Day5MiniProject/Exercises/Hangman/README.md,,,unverified,unverified
Week1Python/Day5MiniProject/Exercises/TicTacToe,TicTacToe,week1python-day5miniproject-exercises-tictactoe,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week1Python,Day5MiniProject,Mini Project,,Python,2,6443,203,Week1Python/Day5MiniProject/Exercises/TicTacToe/tictactoe.py,Week1Python/Day5MiniProject/Exercises/TicTacToe/tictactoe.py,True,Week1Python/Day5MiniProject/Exercises/TicTacToe/README.md,,,unverified,unverified
Week2OOP/Day1IntroductiontoOOP/DailyChallenge,DailyChallenge,week2oop-day1introductiontooop-dailychallenge,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week2OOP,Day1IntroductiontoOOP,Daily Challenge,,Python,2,9142,290,Week2OOP/Day1IntroductiontoOOP/DailyChallenge/oldmcdonaldsfarm.py,Week2OOP/Day1IntroductiontoOOP/DailyChallenge/oldmcdonaldsfarm.py,True,Week2OOP/Day1IntroductiontoOOP/DailyChallenge/README.md,,,unverified,unverified
Week2OOP/Day1IntroductiontoOOP/Exercises/ExercisesXP,ExercisesXP,week2oop-day1introductiontooop-exercises-exercisesxp,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week2OOP,Day1IntroductiontoOOP,Exercise,XP,Python,2,23599,748,Week2OOP/Day1IntroductiontoOOP/Exercises/ExercisesXP/exercisesxp.py,Week2OOP/Day1IntroductiontoOOP/Exercises/ExercisesXP/exercisesxp.py,True,Week2OOP/Day1IntroductiontoOOP/Exercises/ExercisesXP/README.md,,,unverified,unverified
Week2OOP/Day1IntroductiontoOOP/Exercises/ExercisesXPGold,ExercisesXPGold,week2oop-day1introductiontooop-exercises-exercisesxpgold,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week2OOP,Day1IntroductiontoOOP,Exercise,XP Gold,Python,2,9677,281,Week2OOP/Day1IntroductiontoOOP/Exercises/ExercisesXPGold/exercisesxpgold.py,Week2OOP/Day1IntroductiontoOOP/Exercises/ExercisesXPGold/exercisesxpgold.py,True,Week2OOP/Day1IntroductiontoOOP/Exercises/ExercisesXPGold/readme.md,,,unverified,unverified
Week2OOP/Day1IntroductiontoOOP/Exercises/ExercisesXPNinja,ExercisesXPNinja,week2oop-day1introductiontooop-exercises-exercisesxpninja,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week2OOP,Day1IntroductiontoOOP,Exercise,XP Ninja,Python,2,7331,223,Week2OOP/Day1IntroductiontoOOP/Exercises/ExercisesXPNinja/exercisesxpninja.py,Week2OOP/Day1IntroductiontoOOP/Exercises/ExercisesXPNinja/exercisesxpninja.py,True,Week2OOP/Day1IntroductiontoOOP/Exercises/ExercisesXPNinja/readme.md,,,unverified,unverified
Week2OOP/Day2OOPInheritanceEncapsulationPolymorphism/DailyChallenge/Pagination,Pagination,week2oop-day2oopinheritanceencapsulationpolymorphism-dailychallenge-pagination,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week2OOP,Day2OOPInheritanceEncapsulationPolymorphism,Daily Challenge,,Python,2,5884,170,Week2OOP/Day2OOPInheritanceEncapsulationPolymorphism/DailyChallenge/Pagination/pagination.py,Week2OOP/Day2OOPInheritanceEncapsulationPolymorphism/DailyChallenge/Pagination/pagination.py,True,Week2OOP/Day2OOPInheritanceEncapsulationPolymorphism/DailyChallenge/Pagination/README.md,,,unverified,unverified
Week2OOP/Day2OOPInheritanceEncapsulationPolymorphism/Exercises/ExercisesXP,ExercisesXP,week2oop-day2oopinheritanceencapsulationpolymorphism-exercises-exercisesxp,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week2OOP,Day2OOPInheritanceEncapsulationPolymorphism,Exercise,XP,Python,2,7891,266,Week2OOP/Day2OOPInheritanceEncapsulationPolymorphism/Exercises/ExercisesXP/exercisesxp.py,Week2OOP/Day2OOPInheritanceEncapsulationPolymorphism/Exercises/ExercisesXP/exercisesxp.py,True,Week2OOP/Day2OOPInheritanceEncapsulationPolymorphism/Exercises/ExercisesXP/README.md,,,unverified,unverified
Week2OOP/Day2OOPInheritanceEncapsulationPolymorphism/Exercises/ExercisesXPGold,ExercisesXPGold,week2oop-day2oopinheritanceencapsulationpolymorphism-exercises-exercisesxpgold,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week2OOP,Day2OOPInheritanceEncapsulationPolymorphism,Exercise,XP Gold,Python,2,12857,336,Week2OOP/Day2OOPInheritanceEncapsulationPolymorphism/Exercises/ExercisesXPGold/exercisesxpgoldinheritance.py,Week2OOP/Day2OOPInheritanceEncapsulationPolymorphism/Exercises/ExercisesXPGold/exercisesxpgoldinheritance.py,True,Week2OOP/Day2OOPInheritanceEncapsulationPolymorphism/Exercises/ExercisesXPGold/readme.md,,,unverified,unverified
Week2OOP/Day2OOPInheritanceEncapsulationPolymorphism/Exercises/ExercisesXPNinja,ExercisesXPNinja,week2oop-day2oopinheritanceencapsulationpolymorphism-exercises-exercisesxpninja,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week2OOP,Day2OOPInheritanceEncapsulationPolymorphism,Exercise,XP Ninja,Python,2,11612,322,Week2OOP/Day2OOPInheritanceEncapsulationPolymorphism/Exercises/ExercisesXPNinja/exercisesxpninjainheritance.py,Week2OOP/Day2OOPInheritanceEncapsulationPolymorphism/Exercises/ExercisesXPNinja/exercisesxpninjainheritance.py,True,Week2OOP/Day2OOPInheritanceEncapsulationPolymorphism/Exercises/ExercisesXPNinja/readme.md,,,unverified,unverified
Week2OOP/Day3OOPandModules/DailyChallenge/Circle,Circle,week2oop-day3oopandmodules-dailychallenge-circle,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week2OOP,Day3OOPandModules,Daily Challenge,,Python,2,5814,190,Week2OOP/Day3OOPandModules/DailyChallenge/Circle/circle.py,Week2OOP/Day3OOPandModules/DailyChallenge/Circle/circle.py,True,Week2OOP/Day3OOPandModules/DailyChallenge/Circle/README.md,,,unverified,unverified
Week2OOP/Day3OOPandModules/DailyChallenge/Translator,Translator,week2oop-day3oopandmodules-dailychallenge-translator,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week2OOP,Day3OOPandModules,Daily Challenge,,Python,2,5050,149,Week2OOP/Day3OOPandModules/DailyChallenge/Translator/dailychallengetranslator.py,Week2OOP/Day3OOPandModules/DailyChallenge/Translator/dailychallengetranslator.py,True,Week2OOP/Day3OOPandModules/DailyChallenge/Translator/readme.md,,,unverified,unverified
Week2OOP/Day3OOPandModules/DailyChallenge/UserInfo,UserInfo,week2oop-day3oopandmodules-dailychallenge-userinfo,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week2OOP,Day3OOPandModules,Daily Challenge,,Python,2,5500,173,Week2OOP/Day3OOPandModules/DailyChallenge/UserInfo/dailychallengegolduserinfo.py,Week2OOP/Day3OOPandModules/DailyChallenge/UserInfo/dailychallengegolduserinfo.py,True,Week2OOP/Day3OOPandModules/DailyChallenge/UserInfo/readme.md,,,unverified,unverified
Week2OOP/Day3OOPandModules/Exercises/ExercisesXP,ExercisesXP,week2oop-day3oopandmodules-exercises-exercisesxp,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week2OOP,Day3OOPandModules,Exercise,XP,Python,2,12582,390,Week2OOP/Day3OOPandModules/Exercises/ExercisesXP/xp_oop_modules_all.py,Week2OOP/Day3OOPandModules/Exercises/ExercisesXP/xp_oop_modules_all.py,True,Week2OOP/Day3OOPandModules/Exercises/ExercisesXP/README.md,,,unverified,unverified
Week2OOP/Day3OOPandModules/Exercises/ExercisesXPGold,ExercisesXPGold,week2oop-day3oopandmodules-exercises-exercisesxpgold,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week2OOP,Day3OOPandModules,Exercise,XP Gold,Python,2,8433,248,Week2OOP/Day3OOPandModules/Exercises/ExercisesXPGold/exercisesxpgoldmodules.py,Week2OOP/Day3OOPandModules/Exercises/ExercisesXPGold/exercisesxpgoldmodules.py,True,Week2OOP/Day3OOPandModules/Exercises/ExercisesXPGold/readme.md,,,unverified,unverified
Week2OOP/Day3OOPandModules/Exercises/ExercisesXPNinja,ExercisesXPNinja,week2oop-day3oopandmodules-exercises-exercisesxpninja,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week2OOP,Day3OOPandModules,Exercise,XP Ninja,Python,2,13077,389,Week2OOP/Day3OOPandModules/Exercises/ExercisesXPNinja/exercisesxpninjadunder.py,Week2OOP/Day3OOPandModules/Exercises/ExercisesXPNinja/exercisesxpninjadunder.py,True,Week2OOP/Day3OOPandModules/Exercises/ExercisesXPNinja/readme.md,,,unverified,unverified
Week2OOP/Day4PythonFileIOJSONandAPI/DailyChallenge/TextAnalysis,TextAnalysis,week2oop-day4pythonfileiojsonandapi-dailychallenge-textanalysis,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week2OOP,Day4PythonFileIOJSONandAPI,Daily Challenge,,Python,2,8849,229,Week2OOP/Day4PythonFileIOJSONandAPI/DailyChallenge/TextAnalysis/dailychallengetextanalysis.py,Week2OOP/Day4PythonFileIOJSONandAPI/DailyChallenge/TextAnalysis/dailychallengetextanalysis.py,True,Week2OOP/Day4PythonFileIOJSONandAPI/DailyChallenge/TextAnalysis/readme.md,,,unverified,unverified
Week2OOP/Day4PythonFileIOJSONandAPI/Exercises/ExercisesXP,ExercisesXP,week2oop-day4pythonfileiojsonandapi-exercises-exercisesxp,Review this indexed source against the official assignment; runtime behavior and Kevin's learning evidence remain unverified.,Week2OOP,Day4PythonFileIOJSONandAPI,Exercise,XP,Python,2,8792,264,Week2OOP/Day4PythonFileIOJSONandAPI/Exercises/ExercisesXP/xp_files_json_all.py,Week2OOP/Day4PythonFileIOJSONandAPI/Exercises/ExercisesXP/xp_files_json_all.py,True,Week2OOP/Day4PythonFileIOJSONandAPI/Exercises/ExercisesXP/README.md,,,unverified,unverified
